epoch,train_loss,train_acc,valid_loss,valid_acc
1,1.4188596210972704,0.6352231221216452,0.5742640432082117,0.852
2,0.8231811025662814,0.7722725107193902,0.4741925845562946,0.866
3,0.7515372150092938,0.7868032396379229,0.5123852720530704,0.882
4,0.6835386948132015,0.8064157535334286,0.59251265889965,0.85
5,0.6448612033442901,0.8186437986342703,0.4662231426446797,0.88
6,0.614416746110137,0.8283309512466254,0.4860621763482923,0.902
7,0.5970490681613818,0.8356360171510243,0.48177109089004805,0.894
8,0.3464810079734489,0.8951087819596634,0.40473637047613736,0.908
9,0.2836319047946788,0.9148801016356995,0.3890559756045841,0.908
10,0.26507335892572903,0.9180562172463078,0.40095103942947935,0.914
11,0.2419760726569545,0.9235350166746069,0.3741351374983642,0.908
12,0.24346811942022892,0.9242496426869938,0.37453030415511424,0.922
13,0.23271723082736911,0.9265523265046848,0.39740670407571815,0.91
14,0.21595315342080168,0.9312370970303319,0.3735728602954332,0.93
15,0.20408629437847098,0.9343338097506749,0.40748538902030124,0.918
16,0.20574837880105484,0.9356836588851835,0.3791621132401051,0.926
17,0.19283072994165948,0.9375099253612832,0.39834019153485134,0.918
18,0.18955459083032325,0.9369541051294267,0.40847923498658567,0.92
19,0.20258181574663645,0.9354454502143879,0.3751615176844207,0.926
20,0.1847967975673455,0.9402890265205653,0.4127268408212985,0.912
21,0.18922367715259678,0.9398920120692393,0.3785485809865577,0.92
22,0.19402785282647952,0.9387009687152612,0.3520733211128836,0.924
23,0.17799691725932978,0.9414800698745435,0.37116281831882225,0.926
24,0.18084779838773665,0.9422740987771955,0.3645987930477304,0.924
25,0.18212817250103044,0.9398126091789741,0.3782252156238146,0.922
26,0.18458954329690402,0.9406066380816261,0.39197691397130985,0.918
27,0.18536064223043702,0.9414006669842783,0.3688793466688876,0.922
28,0.19143512158746365,0.9398126091789741,0.40270694640560395,0.914
29,0.18069533726092735,0.9418770843258695,0.3814482646131046,0.922
30,0.17988856717285087,0.9435445450214388,0.37991652654957125,0.924
31,0.18298293695190754,0.9405272351913609,0.37910049367868304,0.922
32,0.18705211946315878,0.9394155947276481,0.39544327628291287,0.914
