epoch,train_loss,train_acc,valid_loss,valid_acc
1,1.8089203747071898,0.6677783071303796,0.8079983617067337,0.844
2,0.6735852815190705,0.8677147848181673,0.5507607007622719,0.898
3,0.45789090209200267,0.9032078767667143,0.4630452731251717,0.904
4,0.3545665015236232,0.918532634587899,0.3663405598402023,0.91
5,0.29052429998520396,0.9323487374940448,0.3182687695398927,0.924
6,0.2511151688791929,0.9388597744957916,0.30417875343561174,0.926
7,0.2176739632851437,0.944417976814356,0.3018978446610272,0.924
8,0.17674699552964768,0.9597427346355407,0.28401967118680477,0.934
9,0.17061819882117768,0.9622042242337621,0.28735218426212666,0.936
10,0.1587043455997871,0.962918850246149,0.2958583941459656,0.936
11,0.15367830567627172,0.9662537716372877,0.2841109766587615,0.936
12,0.15822110211392973,0.9646657138319835,0.283054953314364,0.934
13,0.15788104258624405,0.9641892964903922,0.2731464670225978,0.936
14,0.15409207304976455,0.9636334762585358,0.28785126001015304,0.934
15,0.1478398315834344,0.9658567571859615,0.29200200852006675,0.934
16,0.14570362227738887,0.9672860092107353,0.2888715688958764,0.934
17,0.15186103272574353,0.9654597427346355,0.2923186252973974,0.928
18,0.14274463025993248,0.9689534699063046,0.278837510060519,0.928
19,0.15107447201066926,0.9668095918691441,0.2936706201247871,0.932
20,0.14349986788700944,0.9686358583452438,0.2693763516396284,0.942
21,0.1461679254746816,0.9670478005399397,0.26773756652511654,0.932
22,0.1473726703070562,0.9676830236620613,0.28089474971592426,0.938
23,0.14436235918140025,0.9693504843576306,0.27957494235411284,0.934
24,0.14403895263562927,0.9652215340638399,0.27883030223846433,0.932
25,0.1446180739767621,0.9695886930284262,0.28520283652842043,0.924
26,0.1492040886130904,0.9670478005399397,0.28174590004235506,0.932
27,0.1438413952980578,0.9682388438939178,0.27787456250190734,0.942
28,0.1441002859036949,0.9663331745275529,0.2812966248169541,0.932
29,0.14389201415380576,0.9687946641257742,0.27469375272095203,0.936
30,0.1482626275858687,0.9672066063204701,0.2751419717520475,0.938
31,0.14689743703452177,0.9696680959186914,0.2889220738783479,0.93
